# n(z) estimate with symmetric 68% percentile confidence
#   (z_low    z_high]         nz     nz_err
 0.1500000  0.2000000  1.2071623  0.7650720
 0.2000000  0.2500000  2.0529337  0.5940798
 0.2500000  0.3000000  1.2248956  0.5377525
 0.3000000  0.3500000  2.6352602  0.5373067
 0.3500000  0.4000000  3.4938345  0.5161750
 0.4000000  0.4500000  3.9384316  1.1829509
 0.4500000  0.5000000  3.6730685  0.9232542
 0.5000000  0.5500000  4.7831075  0.6601926
 0.5500000  0.6000000  3.9675270  0.5659487
 0.6000000  0.6500000  5.3717878  0.9731582
 0.6500000  0.7000000  4.2321637  1.2982140
