# n(z) estimate with symmetric 68% percentile confidence
#   (z_low    z_high]         nz     nz_err
 0.1500000  0.2000000  1.2071623  0.7621420
 0.2000000  0.2500000  2.0529337  0.7624122
 0.2500000  0.3000000  1.2248956  0.3568953
 0.3000000  0.3500000  2.6352602  0.8456395
 0.3500000  0.4000000  3.4938345  0.4607868
 0.4000000  0.4500000  3.9384316  1.0215282
 0.4500000  0.5000000  3.6730685  0.8322285
 0.5000000  0.5500000  4.7831075  0.6122087
 0.5500000  0.6000000  3.9675270  0.3723310
 0.6000000  0.6500000  5.3717878  1.1699060
 0.6500000  0.7000000  4.2321637  1.3361315
